FECHA;NDSEM;NSEM;NMES;ANNO;LABOR;TEMP_MAX;HUMR_MED;PRES_MAX;VELV_MAX;VELV_MED;RAFV_MAX;PREC_TOT;NO2_MAX;SO2_MAX;O3_MAX;NOX_MAX;C6H6_ALC;C7H8_ALC;XIL_ALC;PM10_MAX;CO_MAX;AMARA;AMA_N;OLEAC;OLE_N;POACE;POA_N;QUERC;QUE_N;TOTAL;TOT_N
17/06/2009;3;25;6;2009;L;32.6;59;1017;17;3;28;0;33;3;70;49;0.4;3.6;2.5;43;0.1;2;0;1;0;0;0;0;0;6;0
18/06/2009;4;25;6;2009;L;32.9;51;1017;21;3;28;0;29;4;61;39;0.5;4.9;3;0;0;2;0;2;0;1;0;0;0;11;0
19/06/2009;5;25;6;2009;L;39.7;38;1016;22;3;32;0;52;5;67;81;0.5;6.9;2.7;45;0.1;8;0;4;0;2;0;2;0;25;0
21/06/2009;7;25;6;2009;F;30.3;65;1016;19;3;34;0;4;3;75;7;0.4;2.1;2.1;0;0;2;0;4;0;0;0;1;0;15;0
22/06/2009;1;26;6;2009;L;30.7;62;1016;24;4;36;0;34;3;70;49;0.4;2.4;2.2;34;0.1;4;0;5;0;4;0;0;0;36;0
24/06/2009;3;26;6;2009;L;36.2;56;1011;22;3;34;0;41;4;74;59;0.5;3.1;2.4;49;0.2;2;0;8;0;3;0;3;0;28;0
25/06/2009;4;26;6;2009;L;37.5;45;1007;21;4;35;0;44;4;62;69;0.4;3.6;2.3;44;0.1;2;0;5;0;0;0;0;0;10;0
26/06/2009;5;26;6;2009;L;34.4;34;1010;27;5;37;0;49;3;65;76;0.3;2.5;2.2;31;0.1;3;0;2;0;1;0;1;0;13;0
27/06/2009;6;26;6;2009;F;32.2;50;1016;24;5;34;0;28;3;68;40;0.3;2.8;2.2;41;0.1;5;0;7;0;1;0;1;0;17;0
28/06/2009;7;26;6;2009;F;36.3;53;1011;23;2;32;0;23;3;75;28;0.3;2.4;2.1;34;0.1;2;0;10;0;2;0;2;0;22;0
29/06/2009;1;27;6;2009;L;32.2;53;1013;22;4;32;0;36;4;65;58;0.5;3.4;2.4;40;0.3;1;0;0;0;0;0;0;0;1;0
01/07/2009;3;27;7;2009;L;35.8;79;1016;21;2;30;0;30;4;77;44;0.35;3.37;2.63;41;0.4;1;0;2;0;0;0;0;0;5;0
02/07/2009;4;27;7;2009;L;38.7;59;1014;18;3;26;0;31;4;75;45;0.35;3.4;2.65;42;0.4;2;0;0;0;0;0;0;0;5;0
03/07/2009;5;27;7;2009;L;34.8;67;1012;23;4;36;0;13;3;78;16;0.4;2.9;3.9;0;0;4;0;2;0;1;0;1;0;12;0
04/07/2009;6;27;7;2009;F;39.9;54;1009;26;3;34;0;32;4;76;44;0.4;3.5;2.7;38;0.4;6;0;7;0;2;0;2;0;26;0
05/07/2009;7;27;7;2009;F;38.4;49;1008;17;3;37;0;26;4;75;34;0.4;2.7;2.5;35;0.4;2;0;2;0;0;0;0;0;7;0
06/07/2009;1;28;7;2009;L;36.4;54;1008;28;4;39;0;37;4;67;59;0.4;3.7;2.5;42;0.4;1;0;1;0;0;0;1;0;6;0
07/07/2009;2;28;7;2009;L;34.9;61;1010;19;3;30;0;30;4;73;48;0.4;3.5;2.5;41;0.4;3;0;3;0;1;0;0;0;10;0
08/07/2009;3;28;7;2009;L;35;67;1013;22;4;34;0;15;3;73;21;0.4;2.7;2.2;33;0.3;1;0;1;0;0;0;1;0;4;0
11/07/2009;6;28;7;2009;F;34;65;1015;19;3;32;0;14;3;63;18;0.4;2.3;2.1;31;0.3;2;0;1;0;0;0;0;0;3;0
13/07/2009;1;29;7;2009;L;34.9;57;1011;23;4;34;0;22;4;65;33;0.4;2.5;2.5;0;0;1;0;0;0;0;0;0;0;4;0
15/07/2009;3;29;7;2009;L;33.1;59;1015;23;4;37;0;33;5;73;51;0.4;4.3;2.3;51;0.3;1;0;0;0;0;0;0;0;2;0
18/07/2009;6;29;7;2009;F;31.1;50;1020;22;4;43;0;14;3;77;19;0.4;2;2.1;40;0.2;2;0;0;0;0;0;0;0;3;0
