FECHA;NDSEM;NSEM;NMES;ANNO;LABOR;TEMP_MAX;HUMR_MED;PRES_MAX;VELV_MAX;VELV_MED;RAFV_MAX;PREC_TOT;NO2_MAX;SO2_MAX;O3_MAX;NOX_MAX;C6H6_ALC;C7H8_ALC;XIL_ALC;PM10_MAX;CO_MAX;AMARA;AMA_N;OLEAC;OLE_N;POACE;POA_N;QUERC;QUE_N;TOTAL;TOT_N
17/06/2009;3;25;6;2009;L;32.60;59.00;1017.00;17.00;3.00;28.00;0.00;33.00;3.00;70.00;49.00;0.40;3.60;2.50;43.00;0.10;2;0;1;0;0;0;0;0;6;0
18/06/2009;4;25;6;2009;L;32.90;51.00;1017.00;21.00;3.00;28.00;0.00;29.00;4.00;61.00;39.00;0.50;4.90;3.00;0.00;0.00;2;0;2;0;1;0;0;0;11;0
19/06/2009;5;25;6;2009;L;39.70;38.00;1016.00;22.00;3.00;32.00;0.00;52.00;5.00;67.00;81.00;0.50;6.90;2.70;45.00;0.10;8;0;4;0;2;0;2;0;25;0
20/06/2009;6;25;6;2009;F;32.30;63.00;1015.00;24.00;4.00;37.00;0.10;10.00;3.00;71.00;15.00;0.40;2.60;2.40;0.00;0.00;0;0;2;0;2;0;2;0;11;0
21/06/2009;7;25;6;2009;F;30.30;65.00;1016.00;19.00;3.00;34.00;0.00;4.00;3.00;75.00;7.00;0.40;2.10;2.10;0.00;0.00;2;0;4;0;0;0;1;0;15;0
22/06/2009;1;26;6;2009;L;30.70;62.00;1016.00;24.00;4.00;36.00;0.00;34.00;3.00;70.00;49.00;0.40;2.40;2.20;34.00;0.10;4;0;5;0;4;0;0;0;36;0
23/06/2009;2;26;6;2009;L;32.10;61.00;1014.00;24.00;4.00;36.00;0.00;28.00;3.00;73.00;40.00;0.40;3.30;2.40;39.00;0.10;0;0;2;0;5;0;4;0;15;0
24/06/2009;3;26;6;2009;L;36.20;56.00;1011.00;22.00;3.00;34.00;0.00;41.00;4.00;74.00;59.00;0.50;3.10;2.40;49.00;0.20;2;0;8;0;3;0;3;0;28;0
25/06/2009;4;26;6;2009;L;37.50;45.00;1007.00;21.00;4.00;35.00;0.00;44.00;4.00;62.00;69.00;0.40;3.60;2.30;44.00;0.10;2;0;5;0;0;0;0;0;10;0
26/06/2009;5;26;6;2009;L;34.40;34.00;1010.00;27.00;5.00;37.00;0.00;49.00;3.00;65.00;76.00;0.30;2.50;2.20;31.00;0.10;3;0;2;0;1;0;1;0;13;0
27/06/2009;6;26;6;2009;F;32.20;50.00;1016.00;24.00;5.00;34.00;0.00;28.00;3.00;68.00;40.00;0.30;2.80;2.20;41.00;0.10;5;0;7;0;1;0;1;0;17;0
28/06/2009;7;26;6;2009;F;36.30;53.00;1011.00;23.00;2.00;32.00;0.00;23.00;3.00;75.00;28.00;0.30;2.40;2.10;34.00;0.10;2;0;10;0;2;0;2;0;22;0
