A_FECHA;NDSEM;NSEM;NMES;ANNO;LABOR;OLEAC_9;OLEAC_8;OLEAC_7;OLEAC_6;OLEAC_5;OLEAC_4;OLEAC_3;OLEAC_2;OLEAC_1;OLEAC
17/06/2009;3;25;6;2009;L;;;;;;;;;;1
18/06/2009;4;25;6;2009;L;;;;;;;;;1;2
19/06/2009;5;25;6;2009;L;;;;;;;;1;2;4
20/06/2009;6;25;6;2009;F;;;;;;;1;2;4;2
21/06/2009;7;25;6;2009;F;;;;;;1;2;4;2;4
22/06/2009;1;26;6;2009;L;;;;;1;2;4;2;4;5
23/06/2009;2;26;6;2009;L;;;;1;2;4;2;4;5;2
24/06/2009;3;26;6;2009;L;;;1;2;4;2;4;5;2;8
25/06/2009;4;26;6;2009;L;;1;2;4;2;4;5;2;8;5
26/06/2009;5;26;6;2009;L;1;2;4;2;4;5;2;8;5;2
27/06/2009;6;26;6;2009;F;2;4;2;4;5;2;8;5;2;7
28/06/2009;7;26;6;2009;F;4;2;4;5;2;8;5;2;7;10
29/06/2009;1;27;6;2009;L;2;4;5;2;8;5;2;7;10;0
30/06/2009;2;27;6;2009;L;4;5;2;8;5;2;7;10;0;2
01/07/2009;3;27;7;2009;L;5;2;8;5;2;7;10;0;2;2
02/07/2009;4;27;7;2009;L;2;8;5;2;7;10;0;2;2;0
03/07/2009;5;27;7;2009;L;8;5;2;7;10;0;2;2;0;2
04/07/2009;6;27;7;2009;F;5;2;7;10;0;2;2;0;2;7
05/07/2009;7;27;7;2009;F;2;7;10;0;2;2;0;2;7;2
06/07/2009;1;28;7;2009;L;7;10;0;2;2;0;2;7;2;1
07/07/2009;2;28;7;2009;L;10;0;2;2;0;2;7;2;1;3
08/07/2009;3;28;7;2009;L;0;2;2;0;2;7;2;1;3;1
09/07/2009;4;28;7;2009;L;2;2;0;2;7;2;1;3;1;1
10/07/2009;5;28;7;2009;L;2;0;2;7;2;1;3;1;1;2
11/07/2009;6;28;7;2009;F;0;2;7;2;1;3;1;1;2;1
12/07/2009;7;28;7;2009;F;2;7;2;1;3;1;1;2;1;0
13/07/2009;1;29;7;2009;L;7;2;1;3;1;1;2;1;0;0
14/07/2009;2;29;7;2009;L;2;1;3;1;1;2;1;0;0;0
15/07/2009;3;29;7;2009;L;1;3;1;1;2;1;0;0;0;0
16/07/2009;4;29;7;2009;L;3;1;1;2;1;0;0;0;0;0
17/07/2009;5;29;7;2009;L;1;1;2;1;0;0;0;0;0;0
18/07/2009;6;29;7;2009;F;1;2;1;0;0;0;0;0;0;0
19/07/2009;7;29;7;2009;F;2;1;0;0;0;0;0;0;0;0
20/07/2009;1;30;7;2009;L;1;0;0;0;0;0;0;0;0;0
21/07/2009;2;30;7;2009;L;0;0;0;0;0;0;0;0;0;0
22/07/2009;3;30;7;2009;L;0;0;0;0;0;0;0;0;0;0
23/07/2009;4;30;7;2009;L;0;0;0;0;0;0;0;0;0;0
24/07/2009;5;30;7;2009;L;0;0;0;0;0;0;0;0;0;0
25/07/2009;6;30;7;2009;F;0;0;0;0;0;0;0;0;0;3
26/07/2009;7;30;7;2009;F;0;0;0;0;0;0;0;0;3;0
27/07/2009;1;31;7;2009;L;0;0;0;0;0;0;0;3;0;0
28/07/2009;2;31;7;2009;L;0;0;0;0;0;0;3;0;0;0
29/07/2009;3;31;7;2009;L;0;0;0;0;0;3;0;0;0;0
30/07/2009;4;31;7;2009;L;0;0;0;0;3;0;0;0;0;0
31/07/2009;5;31;7;2009;L;0;0;0;3;0;0;0;0;0;0
01/08/2009;6;31;8;2009;F;0;0;3;0;0;0;0;0;0;0
02/08/2009;7;31;8;2009;F;0;3;0;0;0;0;0;0;0;0
03/08/2009;1;32;8;2009;L;3;0;0;0;0;0;0;0;0;0
04/08/2009;2;32;8;2009;L;0;0;0;0;0;0;0;0;0;0
05/08/2009;3;32;8;2009;L;0;0;0;0;0;0;0;0;0;0
06/08/2009;4;32;8;2009;L;0;0;0;0;0;0;0;0;0;0
07/08/2009;5;32;8;2009;L;0;0;0;0;0;0;0;0;0;0
08/08/2009;6;32;8;2009;F;0;0;0;0;0;0;0;0;0;0
09/08/2009;7;32;8;2009;F;0;0;0;0;0;0;0;0;0;0
10/08/2009;1;33;8;2009;L;0;0;0;0;0;0;0;0;0;0
11/08/2009;2;33;8;2009;L;0;0;0;0;0;0;0;0;0;0
12/08/2009;3;33;8;2009;L;0;0;0;0;0;0;0;0;0;0
13/08/2009;4;33;8;2009;L;0;0;0;0;0;0;0;0;0;0
14/08/2009;5;33;8;2009;L;0;0;0;0;0;0;0;0;0;0
15/08/2009;6;33;8;2009;F;0;0;0;0;0;0;0;0;0;0
16/08/2009;7;33;8;2009;F;0;0;0;0;0;0;0;0;0;0
17/08/2009;1;34;8;2009;L;0;0;0;0;0;0;0;0;0;0
18/08/2009;2;34;8;2009;L;0;0;0;0;0;0;0;0;0;0
19/08/2009;3;34;8;2009;L;0;0;0;0;0;0;0;0;0;0
20/08/2009;4;34;8;2009;L;0;0;0;0;0;0;0;0;0;0
21/08/2009;5;34;8;2009;L;0;0;0;0;0;0;0;0;0;0
22/08/2009;6;34;8;2009;F;0;0;0;0;0;0;0;0;0;0
23/08/2009;7;34;8;2009;F;0;0;0;0;0;0;0;0;0;0
24/08/2009;1;35;8;2009;L;0;0;0;0;0;0;0;0;0;0
25/08/2009;2;35;8;2009;L;0;0;0;0;0;0;0;0;0;0
26/08/2009;3;35;8;2009;L;0;0;0;0;0;0;0;0;0;0
27/08/2009;4;35;8;2009;L;0;0;0;0;0;0;0;0;0;0
28/08/2009;5;35;8;2009;L;0;0;0;0;0;0;0;0;0;0
29/08/2009;6;35;8;2009;F;0;0;0;0;0;0;0;0;0;0
30/08/2009;7;35;8;2009;F;0;0;0;0;0;0;0;0;0;0
31/08/2009;1;36;8;2009;L;0;0;0;0;0;0;0;0;0;0
01/09/2009;2;36;9;2009;L;0;0;0;0;0;0;0;0;0;0
02/09/2009;3;36;9;2009;L;0;0;0;0;0;0;0;0;0;0
03/09/2009;4;36;9;2009;L;0;0;0;0;0;0;0;0;0;0
04/09/2009;5;36;9;2009;L;0;0;0;0;0;0;0;0;0;0
05/09/2009;6;36;9;2009;F;0;0;0;0;0;0;0;0;0;0
06/09/2009;7;36;9;2009;F;0;0;0;0;0;0;0;0;0;0
07/09/2009;1;37;9;2009;L;0;0;0;0;0;0;0;0;0;0
08/09/2009;2;37;9;2009;L;0;0;0;0;0;0;0;0;0;0
09/09/2009;3;37;9;2009;L;0;0;0;0;0;0;0;0;0;0
10/09/2009;4;37;9;2009;L;0;0;0;0;0;0;0;0;0;0
11/09/2009;5;37;9;2009;L;0;0;0;0;0;0;0;0;0;0
12/09/2009;6;37;9;2009;F;0;0;0;0;0;0;0;0;0;0
13/09/2009;7;37;9;2009;F;0;0;0;0;0;0;0;0;0;0
14/09/2009;1;38;9;2009;L;0;0;0;0;0;0;0;0;0;0
15/09/2009;2;38;9;2009;F;0;0;0;0;0;0;0;0;0;0
16/09/2009;3;38;9;2009;L;0;0;0;0;0;0;0;0;0;0
17/09/2009;4;38;9;2009;L;0;0;0;0;0;0;0;0;0;0
18/09/2009;5;38;9;2009;L;0;0;0;0;0;0;0;0;0;0
19/09/2009;6;38;9;2009;F;0;0;0;0;0;0;0;0;0;0
20/09/2009;7;38;9;2009;F;0;0;0;0;0;0;0;0;0;0
21/09/2009;1;39;9;2009;L;0;0;0;0;0;0;0;0;0;0
22/09/2009;2;39;9;2009;L;0;0;0;0;0;0;0;0;0;0
23/09/2009;3;39;9;2009;L;0;0;0;0;0;0;0;0;0;0
24/09/2009;4;39;9;2009;L;0;0;0;0;0;0;0;0;0;0
25/09/2009;5;39;9;2009;L;0;0;0;0;0;0;0;0;0;0
26/09/2009;6;39;9;2009;F;0;0;0;0;0;0;0;0;0;0
27/09/2009;7;39;9;2009;F;0;0;0;0;0;0;0;0;0;0
28/09/2009;1;40;9;2009;L;0;0;0;0;0;0;0;0;0;0
29/09/2009;2;40;9;2009;L;0;0;0;0;0;0;0;0;0;0
